time,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,average_path
0.432540,89.003075,92.434295,117.389270,103.142408,95.279720,95.093401,92.205062,107.256616,75.945805,91.219794,102.147052
0.436508,88.225010,90.367529,116.152087,106.064623,95.780882,94.904289,91.538334,107.353738,75.454672,90.487176,102.170346
0.440476,85.657597,91.461852,117.244058,108.071547,94.728650,96.856334,91.865814,105.352420,74.789942,92.440801,102.194203
0.444444,85.796948,92.519658,118.037340,108.326552,95.564937,98.167558,92.441451,105.981568,72.938742,91.927362,102.213128
0.448413,86.047331,91.096166,116.991288,109.412816,95.365812,97.528739,93.695139,106.143982,74.141837,90.665898,102.231987
0.452381,85.989299,92.361295,117.197737,111.632789,95.512920,97.665194,93.240938,106.166351,74.158703,90.508132,102.252054
0.456349,83.613877,91.245821,119.575049,110.468444,94.252257,98.776080,94.404481,106.162473,75.134735,90.339484,102.272725
0.460317,84.236795,92.296900,119.618126,110.023814,90.766376,99.621379,95.378819,104.968105,78.964172,88.962533,102.295302
0.464286,83.866007,92.816762,118.907500,110.325916,89.246086,97.380218,93.797366,107.587575,78.799888,88.699562,102.316983
0.468254,85.197632,92.149142,117.876859,109.341471,90.949391,97.958155,94.790570,109.727608,77.598731,89.460214,102.333586
0.472222,83.500865,93.768929,118.869227,112.105113,89.208527,97.678127,94.912211,110.856855,76.396983,89.668855,102.349628
0.476190,82.417427,93.573526,120.795048,112.094640,89.594434,98.550641,94.987705,110.144292,76.370113,88.887731,102.377858
0.480159,82.292832,92.376764,120.838676,112.998799,90.674233,98.360049,94.569185,111.070066,75.852397,88.238395,102.394142
0.484127,84.329978,91.900574,121.083516,114.360142,92.666815,97.554863,94.070482,109.591555,77.134539,88.652522,102.411695
0.488095,83.686272,91.260476,120.335399,112.470303,92.119187,99.258954,96.421319,109.060597,75.703712,89.577795,102.426233
0.492063,82.806480,89.491382,119.728026,114.673977,91.883068,101.745774,97.748214,108.375500,74.637704,90.353093,102.443939
0.496032,83.474529,90.124180,118.580205,114.593552,91.310581,101.498221,98.952234,108.219275,74.913526,89.147329,102.465226
0.500000,80.521934,91.386537,118.479366,111.668236,91.762854,100.668407,98.812307,107.184516,75.439211,88.984635,102.479672
0.503968,79.457842,89.196723,121.649566,109.941621,92.396202,101.716123,98.982358,105.934003,75.680418,86.591992,102.503110
0.507937,79.581811,87.648764,123.762847,109.753667,90.511659,101.418976,97.634078,104.454977,74.913672,87.169468,102.524877
0.511905,78.539592,88.237797,125.791660,108.292702,90.566114,102.226610,97.531015,103.506893,74.277757,88.716810,102.547731
0.515873,79.229027,87.105250,125.660687,110.029767,90.720010,103.406478,97.812988,102.637620,74.228242,90.395853,102.565553
0.519841,80.177906,86.174689,124.580201,108.572965,90.491183,104.097667,99.145965,103.989780,72.872156,88.990402,102.588270
0.523810,80.330751,86.164446,124.935686,109.427554,92.924801,102.453745,99.165007,102.468091,73.199603,89.039335,102.602660
0.527778,80.886218,84.999709,125.761815,110.238040,93.477824,102.811236,99.382405,104.176766,74.810338,88.838568,102.632543
0.531746,80.921311,84.855143,126.190108,109.867145,93.286306,102.164213,98.857208,103.516710,73.969576,87.167809,102.654529
0.535714,81.756323,85.281353,126.110988,110.281127,93.218015,101.526314,98.619410,102.303742,74.620149,86.672192,102.669446
0.539683,84.157215,83.448398,128.712695,111.701297,94.267825,103.655761,98.767649,103.066709,76.756778,85.677931,102.690620
0.543651,83.400003,84.573417,125.915811,113.552987,93.222363,105.029735,97.710027,104.372920,78.271819,86.282012,102.702651
0.547619,84.802930,83.252933,126.815541,113.836921,93.254583,104.415772,97.071285,103.221376,77.268796,87.442231,102.718714
0.551587,85.817837,81.690912,126.703412,113.004682,92.811448,106.405455,95.122206,103.997744,78.282128,89.402623,102.743786
0.555556,85.951707,79.714511,124.823425,111.581612,91.327119,106.418586,95.200888,105.705846,77.758623,89.962487,102.760893
0.559524,85.575579,79.318194,125.764402,110.522183,91.604383,105.455423,95.515194,107.945625,78.157797,87.159411,102.786900
0.563492,83.613072,79.808539,127.663476,109.730561,92.426512,108.166368,96.988123,107.630625,78.273493,87.315782,102.807938
0.567460,84.364710,81.251938,126.463885,109.343649,92.829412,108.499670,95.134728,107.937900,78.917069,86.606357,102.824582
0.571429,85.039853,80.122750,122.456438,108.836875,90.758511,107.777842,96.221662,105.572890,79.165200,85.593760,102.840096
0.575397,85.876352,78.602970,122.286462,107.939259,90.824907,109.099695,96.902258,105.701925,79.088526,84.466626,102.865487
0.579365,85.959326,79.601430,122.332400,107.114494,92.449479,109.164907,97.226873,105.899289,78.046904,82.626810,102.891559
0.583333,87.137649,80.190625,118.962997,106.919697,92.320771,107.028594,99.285020,104.888580,76.679316,83.094872,102.910139
0.587302,86.589077,78.286743,117.839764,104.367603,94.291799,104.463494,99.227243,105.982166,76.022225,83.109951,102.932092
0.591270,86.503921,78.469862,116.061875,107.049717,94.280815,105.148862,99.995939,105.791214,74.736671,83.896623,102.960713
0.595238,85.265099,79.918146,114.692216,107.174047,96.943008,106.357458,98.546063,105.848155,75.336785,82.635312,102.981614
0.599206,87.086706,79.313418,113.808331,107.600721,98.664895,104.846212,97.699673,106.240099,76.724538,83.834059,103.014668
0.603175,87.254693,78.793164,113.213535,107.685954,97.471677,104.535804,97.805508,106.135492,74.997124,83.850730,103.038936
0.607143,85.995425,78.161467,111.668679,107.042678,98.251189,103.028444,98.408268,104.448106,75.116671,83.483055,103.056505
0.611111,86.435788,76.788013,109.038891,109.795004,100.232547,102.722994,97.859151,103.269006,75.980207,82.957174,103.083814
0.615079,86.002277,75.055911,108.597077,109.254621,100.167559,104.369161,95.730241,102.081289,76.897274,83.323588,103.107370
0.619048,85.724119,73.471559,107.457941,109.442512,99.603724,103.713196,95.244581,102.687728,77.630419,83.286070,103.125476
0.623016,84.355073,74.239402,107.937275,108.941530,98.605789,105.472205,96.581412,103.526261,78.262669,80.040292,103.147544
0.626984,84.439955,73.851737,108.720737,106.600944,98.191107,104.814091,97.167468,104.759962,79.361791,80.432928,103.174429
0.630952,86.935577,72.391572,108.940097,105.806049,98.736581,103.315699,99.265131,106.020710,79.518377,79.491338,103.197881
0.634921,89.078795,72.984216,109.635600,106.829908,98.985719,104.544957,98.703976,107.175439,78.152551,78.837870,103.212323
0.638889,87.253963,73.494022,110.762290,106.981637,98.977433,102.228984,98.486289,106.297387,77.440251,76.659094,103.244808
0.642857,87.222563,71.137538,111.776499,107.095283,97.694021,100.936677,98.563441,107.894935,77.995629,76.576907,103.260052
0.646825,88.857502,71.146151,111.079959,106.394290,97.396392,101.809866,97.254411,108.151397,76.675810,77.554651,103.286116
0.650794,87.231993,70.899255,114.706447,104.080741,99.525342,99.663689,98.156943,108.107683,77.919375,77.094475,103.304523
0.654762,87.655645,69.479412,115.178118,102.654889,100.499520,100.289231,97.706492,107.540468,77.850789,77.384159,103.324978
0.658730,88.704371,70.084184,115.522145,102.705881,100.248784,99.805716,98.999043,108.757467,79.167137,77.153294,103.343754
0.662698,89.035887,70.521713,118.879536,102.689666,100.441006,100.705627,98.454619,107.781732,78.360318,77.092635,103.363571
0.666667,88.879253,70.554721,122.544766,104.205024,100.861195,100.859844,99.285444,110.203230,77.761864,76.041311,103.382125
0.670635,88.472532,70.618980,119.514495,104.764765,103.019170,101.401162,98.768296,109.657129,77.580800,75.034497,103.405100
0.674603,89.817677,71.079580,118.455733,104.318782,103.447863,100.901854,99.373824,107.812400,75.884578,76.025366,103.426688
0.678571,90.793223,69.718453,120.403024,104.325070,102.701784,100.742802,100.467106,108.269372,76.051973,76.428448,103.449228
0.682540,89.593773,70.227405,120.786386,105.924473,103.675111,100.509900,99.624173,107.344469,76.853858,75.514936,103.467598
0.686508,88.521096,69.096409,118.672535,104.743068,105.086152,100.891272,99.565010,108.406618,75.977074,75.155786,103.486357
0.690476,88.130776,69.873465,117.159323,103.667697,103.984758,101.869794,101.040192,105.827109,76.375965,74.637780,103.504977
